Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,13.355000,108.108500,28972,ADRs,France,
BASFY,BASF SE S/ADR,OTCQX International Premier,18.440000,38.900800,131952,ADRs,Germany,
BFFAF,BASF SE ORD,OTCQX International Premier,73.544600,17.391900,14,Foreign Ordinary Shares,Germany,
DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,16.540000,83.960000,4675,Foreign Ordinary Shares,Germany,
DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,16.585000,108.362000,181054,ADRs,Germany,
DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,21.890000,150.525800,10807,Foreign Ordinary Shares,Germany,
DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,21.940000,97.282000,23010,ADRs,Germany,
ADDDF,ADIDAS AG ORD,OTCQX International Premier,241.820000,26.160500,1,Foreign Ordinary Shares,Germany,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,121.850000,52.472500,28319,ADRs,Germany,
IFNNF,INFINEON TECHS AG,OTCQX International Premier,20.344850,208.421900,0,Foreign Ordinary Shares,Germany,
IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,19.835000,69.287300,105093,ADRs,Germany,
FSNUF,FRESENIUS SE & CO,OTCQX International Premier,55.670000,1.217400,0,Foreign Ordinary Shares,Germany,
FSNUY,FRESENIUS SE S/ADR,OTCQX International Premier,14.020000,12.501100,56499,ADRs,Germany,
KPLUF,K PLUS S AG ORD,OTCQX International Premier,17.900000,0.241700,0,Foreign Ordinary Shares,Germany,
KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,9.150000,40.551100,3000,ADRs,Germany,
STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,8.790000,34.977400,0,ADRs,Germany,
CCGGY,C&C GROUP PLC S/ADR,OTCQX International Premier,10.830000,16.255500,10,ADRs,Ireland,
EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,27.132000,35.673800,0,Foreign Ordinary Shares,Ireland,
EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,27.080000,77.726100,66795,ADRs,Ireland,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,26.715000,65.929800,40533,ADRs,Mexico,
GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,5.481800,191.998200,40052,Foreign Ordinary Shares,Mexico,
GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,27.385000,17.296900,6608,ADRs,Mexico,
NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,4.095000,82.442400,83747,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,4.068280,279.259600,0,Foreign Ordinary Shares,Norway,
ROSYY,PJSC ROSTELECOM S/ADR,OTCQX International Premier,6.500000,98.403000,0,ADRs,Russia,
GZPFY,GAZPROM NEFT PJSC  S/ADR,OTCQX International Premier,24.730000,32.846600,3121,ADRs,Russia,
RSHYY,RUSHYDRO PJSC S/ADR,OTCQX International Premier,0.720900,16.858800,3939,ADRs,Russia,
IMPUY,IMPALA PLATINUM LTD S/ADR,OTCQX International Premier,4.220000,110.440700,104745,ADRs,South Africa,
REPYF,REPSOL YPF SA ORD,OTCQX International Premier,17.100000,457.544000,46,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA ADR,OTCQX International Premier,17.080000,55.764400,52975,ADRs,Spain,
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,268.000000,209.134100,2,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,34.390000,73.954400,2629228,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,273.500000,53.444800,345,Rights,Switzerland,
ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,330.000000,235.170300,439,Foreign Ordinary Shares,Switzerland,
ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,33.065000,55.926300,33476,ADRs,Switzerland,
FERGY,FERGUSON PLC S/ADR,OTCQX International Premier,6.420000,190.966200,505863,ADRs,Switzerland,
WOSCF,FERGUSON PLC ORD NEW,OTCQX International Premier,63.674780,32.777900,0,Foreign Ordinary Shares,Switzerland,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,26.575000,37.095900,32523,ADRs,The Netherlands,
AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,26.650000,2.532700,0,Foreign Ordinary Shares,The Netherlands,
HEINY,HEINEKEN N V S/ADR,OTCQX International Premier,52.815000,32.427100,9731,ADRs,The Netherlands,
HINKF,HEINEKEN N V REG,OTCQX International Premier,105.390700,17.261400,322,Foreign Ordinary Shares,The Netherlands,
RDSMY,ROYAL DSM NV S/ADR,OTCQX International Premier,27.240000,29.810200,25677,ADRs,The Netherlands,
AKZOF,AKZO NOBEL NV ORD NEW,OTCQX International Premier,89.420000,7.551900,0,Foreign Ordinary Shares,The Netherlands,
AKZOY,AKZO NOBEL N V S/ADR,OTCQX International Premier,29.540000,190.097400,347948,ADRs,The Netherlands,
ASMIY,ASM INTL NV,OTCQX International Premier,54.150000,33.695900,2,ETFs,The Netherlands,
HKHHF,HEINEKEN HOLDING NV ORD,OTCQX International Premier,100.090000,39.188200,993,Foreign Ordinary Shares,The Netherlands,
HKHHY,HEINEKEN HOLDING NV S/ADR,OTCQX International Premier,50.570000,27.946700,1323,ADRs,The Netherlands,
TKGBF,TURKIYE GARANTI BK,OTCQX International Premier,1.690000,0.000000,0,Foreign Ordinary Shares,Turkey,
TKGBY,TURKIYE GARANTI BNK S/ADR,OTCQX International Premier,1.500000,101.805200,661691,ADRs,Turkey,
AKBTY,AKBANK T/A/S S/ADR,OTCQX International Premier,2.260000,41.359500,27641,ADRs,Turkey,
KGFHF,KINGFISHER PLC ORD,OTCQX International Premier,3.090000,172.645400,1065,Foreign Ordinary Shares,United Kingdom,
KGFHY,KINGFISHER PLC S/ADR,OTCQX International Premier,6.195000,18.488000,31917,ADRs,United Kingdom,
TATYF,TATE & LYLE PLC ORD,OTCQX International Premier,9.550000,2.122200,0,Foreign Ordinary Shares,United Kingdom,
TATYY,TATE & LYLE PLC S/ADR,OTCQX International Premier,37.825000,289.867300,1536,ADRs,United Kingdom,
IMBBF,IMPERIAL BRANDS PLC ORD,OTCQX International Premier,33.950000,25.068300,433,Foreign Ordinary Shares,United Kingdom,
